2021-03-15 22:01:23,400 semantic_segmentation INFO: Start validation, Total sample: 29963
2021-03-15 22:01:24,760 semantic_segmentation INFO: Sample: 1, validation pixAcc: 98.371, mIoU: 92.476
2021-03-15 22:01:58,332 semantic_segmentation INFO: Start validation, Total sample: 29963
2021-03-15 22:01:59,946 semantic_segmentation INFO: Sample: 1, validation pixAcc: 98.371, mIoU: 92.476
2021-03-15 22:02:00,094 semantic_segmentation INFO: Sample: 2, validation pixAcc: 98.247, mIoU: 92.015
2021-03-15 22:02:00,233 semantic_segmentation INFO: Sample: 3, validation pixAcc: 98.197, mIoU: 91.738
2021-03-15 22:02:00,356 semantic_segmentation INFO: Sample: 4, validation pixAcc: 98.185, mIoU: 91.453
2021-03-15 22:02:00,487 semantic_segmentation INFO: Sample: 5, validation pixAcc: 98.199, mIoU: 91.539
2021-03-15 22:02:00,604 semantic_segmentation INFO: Sample: 6, validation pixAcc: 98.223, mIoU: 91.493
2021-03-15 22:02:00,731 semantic_segmentation INFO: Sample: 7, validation pixAcc: 98.276, mIoU: 91.598
2021-03-15 22:02:00,852 semantic_segmentation INFO: Sample: 8, validation pixAcc: 98.255, mIoU: 91.619
2021-03-15 22:02:00,973 semantic_segmentation INFO: Sample: 9, validation pixAcc: 98.222, mIoU: 91.347
2021-03-15 22:02:01,090 semantic_segmentation INFO: Sample: 10, validation pixAcc: 98.195, mIoU: 91.411
2021-03-15 22:02:01,211 semantic_segmentation INFO: Sample: 11, validation pixAcc: 98.197, mIoU: 91.608
2021-03-15 22:02:01,292 semantic_segmentation INFO: Sample: 12, validation pixAcc: 98.188, mIoU: 91.485
2021-03-15 22:02:01,417 semantic_segmentation INFO: Sample: 13, validation pixAcc: 98.182, mIoU: 91.432
2021-03-15 22:02:01,538 semantic_segmentation INFO: Sample: 14, validation pixAcc: 98.185, mIoU: 91.340
2021-03-15 22:02:01,657 semantic_segmentation INFO: Sample: 15, validation pixAcc: 98.178, mIoU: 91.195
2021-03-15 22:02:01,782 semantic_segmentation INFO: Sample: 16, validation pixAcc: 98.148, mIoU: 91.158
2021-03-15 22:02:01,905 semantic_segmentation INFO: Sample: 17, validation pixAcc: 98.121, mIoU: 91.141
2021-03-15 22:02:02,019 semantic_segmentation INFO: Sample: 18, validation pixAcc: 98.106, mIoU: 91.074
2021-03-15 22:02:02,147 semantic_segmentation INFO: Sample: 19, validation pixAcc: 98.085, mIoU: 91.171
2021-03-15 22:02:02,270 semantic_segmentation INFO: Sample: 20, validation pixAcc: 98.059, mIoU: 91.232
2021-03-15 22:02:02,392 semantic_segmentation INFO: Sample: 21, validation pixAcc: 98.027, mIoU: 91.099
2021-03-15 22:02:02,512 semantic_segmentation INFO: Sample: 22, validation pixAcc: 98.007, mIoU: 91.099
2021-03-15 22:02:02,632 semantic_segmentation INFO: Sample: 23, validation pixAcc: 97.996, mIoU: 91.031
2021-03-15 22:02:02,760 semantic_segmentation INFO: Sample: 24, validation pixAcc: 97.969, mIoU: 90.968
2021-03-15 22:02:02,887 semantic_segmentation INFO: Sample: 25, validation pixAcc: 97.953, mIoU: 90.984
2021-03-15 22:02:03,013 semantic_segmentation INFO: Sample: 26, validation pixAcc: 97.930, mIoU: 90.977
2021-03-15 22:02:03,144 semantic_segmentation INFO: Sample: 27, validation pixAcc: 97.917, mIoU: 91.017
2021-03-15 22:02:03,277 semantic_segmentation INFO: Sample: 28, validation pixAcc: 97.910, mIoU: 91.114
2021-03-15 22:02:03,409 semantic_segmentation INFO: Sample: 29, validation pixAcc: 97.903, mIoU: 91.133
